Date,Open,High,Low,Close,Adj Close,Volume
12/4/2018,672.549988,688.25,671.299988,685.25,599.089355,7827923
12/5/2018,683,683.650024,672.5,681.400024,595.72345,5177288
12/6/2018,676.099976,685.450012,664.549988,668.5,584.445374,8039771
12/7/2018,672,685.75,665.599976,682.799988,596.947449,5553948
12/10/2018,669.900024,683.799988,665.200012,669.200012,585.057434,5121196
12/11/2018,669.200012,681.900024,660.599976,674.5,589.690979,7120933
12/12/2018,677.099976,680.650024,670.599976,678.5,593.187988,6926183
12/13/2018,682,700,680,697.75,610.017639,7521474
12/14/2018,697.450012,713.700012,694.400024,706.049988,617.274109,9560576
12/17/2018,711.849976,711.849976,692.75,694.400024,607.088928,4778465
12/18/2018,686.5,686.5,674.549988,676.599976,591.526917,8021298
12/19/2018,671.549988,671.549988,661.099976,664.849976,581.254395,8295459
12/20/2018,660,671.549988,656.400024,667.049988,583.177795,11705260
12/21/2018,659.5,659.5,643.450012,646.200012,564.949341,12802132
12/24/2018,657,658.799988,647.599976,649,567.397278,8379825
12/26/2018,647,647,637.349976,644.049988,563.069702,6178552
12/27/2018,652.75,663.25,649,656.799988,574.216431,15333902
12/28/2018,663.349976,663.5,653.299988,656.950012,574.347656,4736598
12/31/2018,660,662,655.799988,658.950012,576.096191,3373319
1/1/2019,660.950012,666.299988,654.150024,665.049988,581.429138,2943390
1/2/2019,666,674,662.049988,669.049988,584.926208,7416655
1/3/2019,672,677,663.099976,669.150024,585.013672,6827249
1/4/2019,671.75,673.900024,651,661.049988,577.932129,7889310
1/7/2019,665,673.599976,661.5,671.700012,587.243042,8046340
1/8/2019,674.950012,677.450012,668.549988,670.049988,585.800537,8621545
1/9/2019,686.200012,689.799988,664,676.099976,591.089783,18130292
1/10/2019,681.599976,682,672.549988,679.700012,594.237183,9572493
1/11/2019,680.200012,685.5,672.5,683.5,597.559265,12281903
1/14/2019,707,710.200012,695.950012,701.900024,613.645813,19312937
1/15/2019,707.200012,730,707.200012,726.599976,635.240234,19671304
1/16/2019,729.900024,737.799988,728.5,736.799988,644.157654,9658944
1/17/2019,735.799988,739,729.099976,733.349976,641.141418,6903771
1/18/2019,730,736.200012,726.299988,730.950012,639.043152,5902151
1/21/2019,738.200012,751,734,745,651.326599,8129422
1/22/2019,741.25,749,734,745.349976,651.632507,6723375
1/23/2019,742.349976,742.599976,729.200012,731.650024,639.655273,7212099
1/24/2019,728.099976,736.099976,721,732,643.479065,7429783
1/25/2019,728,737.900024,724.25,730.349976,642.028748,5543112
1/28/2019,731,732.599976,719,727.950012,639.918823,7944693
1/29/2019,725.5,732.849976,716.5,727.900024,639.875061,6760819
1/30/2019,727.900024,734.799988,721.099976,725.900024,638.116821,5763026
1/31/2019,726,751.299988,726,749.549988,658.906799,13825233
2/1/2019,751.349976,762.5,744.5,757.049988,665.499939,6276585
2/4/2019,757,762.5,749.200012,755.900024,664.488831,3945391
2/5/2019,747,759.950012,747,754.849976,663.565857,4694366
2/6/2019,755.549988,766.950012,754.349976,763.299988,670.994019,5880482
2/7/2019,763.049988,769.450012,761,764,671.609436,3961797
2/8/2019,760,772.25,754.900024,760.900024,668.884338,5915169
2/11/2019,766.900024,768.75,759,762.799988,670.554443,5500216
2/12/2019,760.349976,760.349976,741,750.450012,659.697937,7310690
2/14/2019,751,753,737.25,740.049988,650.555603,4610535
2/15/2019,742.299988,746.5,732.599976,741.950012,652.225891,5586389
2/18/2019,742.349976,747.650024,736,741.049988,651.434814,5346825
2/19/2019,739.099976,740.549988,721.299988,724.299988,636.710327,9401334
2/20/2019,727,743,726.049988,740.700012,651.127075,5210675
2/21/2019,738,738,727.099976,733.450012,644.753906,7202786
2/22/2019,732.5,738.200012,728,734.950012,646.072388,3750833
2/25/2019,735.549988,758,735.549988,754.900024,663.609802,6547552
2/26/2019,748.599976,752.599976,740.150024,742.5,652.709412,8319610
2/27/2019,745,746.400024,732.75,735.25,646.336182,5936354
2/28/2019,738.700012,742.400024,732.299988,734.299988,645.501038,8559921
3/1/2019,735.5,743.400024,735.5,741.900024,652.181885,3998826
3/5/2019,740.5,742.5,730.25,732.5,643.918701,4826505
3/6/2019,736.099976,736.099976,727,732.5,643.918701,6076668
3/7/2019,734,734.5,720.549988,722.950012,635.523438,5951551
3/8/2019,722.950012,722.950012,710.650024,712.349976,626.205444,7193994
3/11/2019,713.299988,718.5,709.400024,711.25,625.238403,9932198
3/12/2019,709,714.950012,705.599976,706.950012,621.458435,11997387
3/13/2019,710,718.599976,706.299988,708.450012,622.7771,11348867
3/14/2019,714,714.900024,706.200012,708.349976,622.689209,6415187
3/15/2019,712,723.75,709.599976,718.549988,631.65564,14638664
3/18/2019,721.549988,723.700012,705.349976,710.200012,624.315491,8065544
3/19/2019,712.799988,726.5,707.400024,722.25,634.908264,8917337
3/20/2019,727.25,742.299988,727.150024,738.950012,649.588684,13471173
3/22/2019,745,746.349976,732.299988,743.099976,653.236816,8883260
